account_id,account_name,email,created_at,updated_at
1,Quirino Fábregas Alfaro S.A.,morera&asociadoss.a.@gmail.com,2020-09-27 22:22:50,2021-03-16 22:22:50
2,Desiderio Mariño Marín S.A.,finanzasazconas.com.@outlook.com,2020-07-31 22:26:10,2021-05-17 22:26:10
3,Cantón y Perez S.L.,ariza&asociadoss.com.@gmail.com,2022-08-04 22:54:49,2023-02-11 22:54:49
4,Industrias Calvet y asociados S.L.N.E,serviciosvilaltayasociadoss.l.n.e@hotmail.com,2021-08-22 17:14:13,2022-04-03 17:14:13
5,Benigno Piñeiro Gallart S.A.,grupolluchs.l.@outlook.com,2024-01-23 13:20:12,2024-02-13 13:20:12
6,Hermanos Valentín S.Coop.,manufacturasiberias.l.l.@outlook.com,2022-08-31 19:10:18,2023-03-25 19:10:18
7,Inmobiliaria Torrent S.C.P,talleresmbs.com.@hotmail.com,2022-06-21 12:02:54,2022-09-16 12:02:54
8,Finanzas Española S.L.N.E,gonzalez&asociadoss.a.@hotmail.com,2022-12-07 17:49:32,2023-09-20 17:49:32
9,Santiago Ortuño Olmedo S.Coop.,alimentaciónlxds.l.l.@gmail.com,2023-06-17 03:05:06,2023-07-26 03:05:06
10,Cuervo y Palomo S.L.N.E,talleresríos.coop.@hotmail.com,2022-04-21 19:52:59,2022-11-08 19:52:59
11,Gisbert y Mateu S.Coop.,vilarypriegos.coop.@hotmail.com,2020-08-16 14:20:05,2021-02-09 14:20:05
12,Banca Privada Ariño y asociados S.L.,solucioneseyys.l.@outlook.com,2022-05-13 03:07:42,2022-12-18 03:07:42
13,Fábrica Ortega y asociados S.L.N.E,restauracióniabs.l.l.@gmail.com,2021-09-09 08:22:56,2021-09-25 08:22:56
14,Farmaceútica Ureña & Asociados S.Com.,gustavobrionespadillas.a.@hotmail.com,2023-03-04 21:02:24,2023-07-09 21:02:24
15,Joan Corral Rivera S.L.,restauraciónvsus.a.@gmail.com,2020-06-02 00:01:09,2020-12-19 00:01:09
