account_subscription_id,account_id,subscription_id,start_date
1,1,1,2025-01-01
2,2,2,2025-01-01
3,3,1,2025-01-01
4,4,1,2025-01-01
5,5,1,2025-01-01
6,6,2,2025-01-01
7,7,1,2025-01-01
8,8,1,2025-01-01
9,9,1,2025-01-01
10,10,3,2025-01-01
11,11,2,2025-01-01
12,12,2,2025-01-01
13,13,2,2025-01-01
14,14,1,2025-01-01
15,15,2,2025-01-01
16,16,1,2025-01-01
17,17,1,2025-01-01
18,18,1,2025-01-01
19,19,1,2025-01-01
20,20,1,2025-01-01
21,21,1,2025-01-01
22,22,1,2025-01-01
23,23,1,2025-01-01
24,24,2,2025-01-01
25,25,2,2025-01-01
26,26,1,2025-01-01
27,27,1,2025-01-01
28,28,1,2025-01-01
29,29,1,2025-01-01
30,30,1,2025-01-01
31,31,3,2025-01-01
32,32,1,2025-01-01
33,33,1,2025-01-01
34,34,1,2025-01-01
35,35,1,2025-01-01
36,36,2,2025-01-01
37,37,2,2025-01-01
38,38,1,2025-01-01
39,39,2,2025-01-01
40,40,2,2025-01-01
41,41,2,2025-01-01
42,42,1,2025-01-01
43,43,1,2025-01-01
44,44,1,2025-01-01
45,45,2,2025-01-01
46,46,1,2025-01-01
47,47,2,2025-01-01
48,48,1,2025-01-01
49,49,2,2025-01-01
50,50,2,2025-01-01
51,51,2,2025-01-01
52,52,1,2025-01-01
53,53,2,2025-01-01
54,54,1,2025-01-01
55,55,1,2025-01-01
56,56,2,2025-01-01
57,57,1,2025-01-01
58,58,2,2025-01-01
59,59,2,2025-01-01
60,60,1,2025-01-01
61,61,1,2025-01-01
62,62,2,2025-01-01
63,63,3,2025-01-01
64,64,1,2025-01-01
65,65,1,2025-01-01
66,66,1,2025-01-01
67,67,2,2025-01-01
68,68,1,2025-01-01
69,69,1,2025-01-01
70,70,3,2025-01-01
71,71,1,2025-01-01
72,72,1,2025-01-01
73,73,2,2025-01-01
74,74,2,2025-01-01
75,75,3,2025-01-01
76,76,1,2025-01-01
77,77,2,2025-01-01
78,78,3,2025-01-01
79,79,2,2025-01-01
80,80,2,2025-01-01
81,81,2,2025-01-01
82,82,3,2025-01-01
83,83,1,2025-01-01
84,84,,2025-01-01
85,85,3,2025-01-01
86,86,1,2025-01-01
87,87,1,2025-01-01
88,88,1,2025-01-01
89,89,3,2025-01-01
90,90,2,2025-01-01
91,91,1,2025-01-01
92,92,3,2025-01-01
93,93,2,2025-01-01
94,94,2,2025-01-01
95,95,3,2025-01-01
96,96,1,2025-01-01
97,97,1,2025-01-01
98,98,2,2025-01-01
99,99,2,2025-01-01
100,100,2,2025-01-01
101,101,3,2025-01-01
102,102,3,2025-01-01
103,103,2,2025-01-01
104,104,1,2025-01-01
105,105,1,2025-01-01
106,106,2,2025-01-01
107,107,3,2025-01-01
108,108,1,2025-01-01
109,109,2,2025-01-01
110,110,1,2025-01-01
111,111,1,2025-01-01
112,112,2,2025-01-01
113,113,2,2025-01-01
114,114,2,2025-01-01
115,115,2,2025-01-01
116,116,2,2025-01-01
117,117,1,2025-01-01
118,118,1,2025-01-01
119,119,1,2025-01-01
120,120,1,2025-01-01
121,121,1,2025-01-01
122,122,1,2025-01-01
123,123,2,2025-01-01
124,124,1,2025-01-01
125,125,1,2025-01-01
126,126,1,2025-01-01
127,127,1,2025-01-01
128,128,1,2025-01-01
129,129,1,2025-01-01
130,130,1,2025-01-01
131,131,1,2025-01-01
132,132,1,2025-01-01
133,133,1,2025-01-01
134,134,1,2025-01-01
135,135,1,2025-01-01
136,136,1,2025-01-01
137,137,1,2025-01-01
138,138,1,2025-01-01
139,139,2,2025-01-01
140,140,2,2025-01-01
141,141,2,2025-01-01
142,142,1,2025-01-01
143,143,1,2025-01-01
144,144,2,2025-01-01
145,145,1,2025-01-01
146,146,1,2025-01-01
147,147,1,2025-01-01
148,148,3,2025-01-01
149,149,1,2025-01-01
150,150,1,2025-01-01
151,151,,2025-01-01
152,152,1,2025-01-01
153,153,1,2025-01-01
154,154,1,2025-01-01
155,155,2,2025-01-01
156,156,2,2025-01-01
157,157,1,2025-01-01
158,158,1,2025-01-01
159,159,3,2025-01-01
160,160,2,2025-01-01
161,161,2,2025-01-01
162,162,2,2025-01-01
163,163,2,2025-01-01
164,164,1,2025-01-01
165,165,2,2025-01-01
166,166,1,2025-01-01
167,167,3,2025-01-01
168,168,2,2025-01-01
169,169,2,2025-01-01
170,170,1,2025-01-01
171,171,1,2025-01-01
172,172,1,2025-01-01
173,173,2,2025-01-01
174,174,2,2025-01-01
175,175,3,2025-01-01
176,176,2,2025-01-01
177,177,2,2025-01-01
178,178,2,2025-01-01
179,179,1,2025-01-01
180,180,1,2025-01-01
181,181,1,2025-01-01
182,182,2,2025-01-01
183,183,1,2025-01-01
184,184,1,2025-01-01
185,185,3,2025-01-01
186,186,1,2025-01-01
187,187,2,2025-01-01
188,188,2,2025-01-01
189,189,2,2025-01-01
190,190,3,2025-01-01
191,191,1,2025-01-01
192,192,2,2025-01-01
193,193,2,2025-01-01
194,194,2,2025-01-01
195,195,2,2025-01-01
196,196,1,2025-01-01
197,197,1,2025-01-01
198,198,1,2025-01-01
199,199,1,2025-01-01
200,200,2,2025-01-01
201,201,3,2025-01-01
202,202,1,2025-01-01
203,203,1,2025-01-01
204,204,2,2025-01-01
205,205,1,2025-01-01
206,206,1,2025-01-01
207,207,2,2025-01-01
208,208,1,2025-01-01
209,209,1,2025-01-01
210,210,3,2025-01-01
211,211,1,2025-01-01
212,212,2,2025-01-01
213,213,1,2025-01-01
214,214,1,2025-01-01
215,215,2,2025-01-01
216,216,2,2025-01-01
217,217,2,2025-01-01
218,218,2,2025-01-01
219,219,1,2025-01-01
220,220,2,2025-01-01
221,221,1,2025-01-01
222,222,1,2025-01-01
223,223,2,2025-01-01
224,224,1,2025-01-01
225,225,1,2025-01-01
226,226,1,2025-01-01
227,227,3,2025-01-01
228,228,2,2025-01-01
229,229,1,2025-01-01
230,230,1,2025-01-01
231,231,1,2025-01-01
232,232,1,2025-01-01
233,233,1,2025-01-01
234,234,2,2025-01-01
235,235,1,2025-01-01
236,236,2,2025-01-01
237,237,2,2025-01-01
238,238,2,2025-01-01
239,239,2,2025-01-01
240,240,3,2025-01-01
241,241,2,2025-01-01
242,242,1,2025-01-01
243,243,2,2025-01-01
244,244,3,2025-01-01
245,245,1,2025-01-01
246,246,2,2025-01-01
247,247,1,2025-01-01
248,248,1,2025-01-01
249,249,2,2025-01-01
250,250,2,2025-01-01
251,251,2,2025-01-01
252,252,1,2025-01-01
253,253,1,2025-01-01
254,254,2,2025-01-01
255,255,1,2025-01-01
256,256,2,2025-01-01
257,257,3,2025-01-01
258,258,2,2025-01-01
259,259,2,2025-01-01
260,260,1,2025-01-01
261,261,1,2025-01-01
262,262,1,2025-01-01
263,263,2,2025-01-01
264,264,2,2025-01-01
265,265,1,2025-01-01
266,266,2,2025-01-01
267,267,2,2025-01-01
268,268,1,2025-01-01
269,269,2,2025-01-01
270,270,2,2025-01-01
271,271,1,2025-01-01
272,272,1,2025-01-01
273,273,1,2025-01-01
274,274,1,2025-01-01
275,275,1,2025-01-01
276,276,2,2025-01-01
277,277,1,2025-01-01
278,278,1,2025-01-01
279,279,1,2025-01-01
280,280,2,2025-01-01
281,281,1,2025-01-01
282,282,2,2025-01-01
283,283,3,2025-01-01
284,284,1,2025-01-01
285,285,1,2025-01-01
286,286,1,2025-01-01
287,287,1,2025-01-01
288,288,3,2025-01-01
289,289,1,2025-01-01
290,290,2,2025-01-01
291,291,2,2025-01-01
292,292,1,2025-01-01
293,293,1,2025-01-01
294,294,2,2025-01-01
295,295,2,2025-01-01
296,296,1,2025-01-01
297,297,2,2025-01-01
298,298,1,2025-01-01
299,299,1,2025-01-01
300,300,1,2025-01-01
301,301,3,2025-01-01
302,302,1,2025-01-01
303,303,1,2025-01-01
304,304,1,2025-01-01
305,305,1,2025-01-01
306,306,2,2025-01-01
307,307,1,2025-01-01
308,308,1,2025-01-01
309,309,1,2025-01-01
310,310,1,2025-01-01
311,311,1,2025-01-01
312,312,1,2025-01-01
313,313,1,2025-01-01
314,314,2,2025-01-01
315,315,2,2025-01-01
316,316,1,2025-01-01
317,317,2,2025-01-01
318,318,1,2025-01-01
319,319,1,2025-01-01
320,320,2,2025-01-01
321,321,1,2025-01-01
322,322,2,2025-01-01
323,323,1,2025-01-01
324,324,2,2025-01-01
325,325,1,2025-01-01
326,326,1,2025-01-01
327,327,1,2025-01-01
328,328,1,2025-01-01
329,329,2,2025-01-01
330,330,1,2025-01-01
331,331,1,2025-01-01
332,332,3,2025-01-01
333,333,1,2025-01-01
334,334,2,2025-01-01
335,335,1,2025-01-01
336,336,1,2025-01-01
337,337,1,2025-01-01
338,338,1,2025-01-01
339,339,2,2025-01-01
340,340,2,2025-01-01
341,341,1,2025-01-01
342,342,3,2025-01-01
343,343,2,2025-01-01
344,344,1,2025-01-01
345,345,3,2025-01-01
346,346,2,2025-01-01
347,347,1,2025-01-01
348,348,1,2025-01-01
349,349,2,2025-01-01
350,350,1,2025-01-01
351,351,2,2025-01-01
352,352,1,2025-01-01
353,353,3,2025-01-01
354,354,2,2025-01-01
355,355,2,2025-01-01
356,356,2,2025-01-01
357,357,1,2025-01-01
358,358,,2025-01-01
359,359,2,2025-01-01
360,360,3,2025-01-01
361,361,2,2025-01-01
362,362,2,2025-01-01
363,363,1,2025-01-01
364,364,1,2025-01-01
365,365,1,2025-01-01
366,366,1,2025-01-01
367,367,1,2025-01-01
368,368,1,2025-01-01
369,369,1,2025-01-01
370,370,1,2025-01-01
371,371,2,2025-01-01
372,372,2,2025-01-01
373,373,1,2025-01-01
374,374,1,2025-01-01
375,375,1,2025-01-01
376,376,1,2025-01-01
377,377,2,2025-01-01
378,378,1,2025-01-01
379,379,1,2025-01-01
380,380,1,2025-01-01
381,381,2,2025-01-01
382,382,2,2025-01-01
383,383,1,2025-01-01
384,384,2,2025-01-01
385,385,1,2025-01-01
386,386,3,2025-01-01
387,387,3,2025-01-01
388,388,1,2025-01-01
389,389,2,2025-01-01
390,390,1,2025-01-01
391,391,1,2025-01-01
392,392,2,2025-01-01
393,393,1,2025-01-01
394,394,1,2025-01-01
395,395,1,2025-01-01
396,396,1,2025-01-01
397,397,1,2025-01-01
398,398,2,2025-01-01
399,399,1,2025-01-01
400,400,3,2025-01-01
401,401,2,2025-01-01
402,402,1,2025-01-01
403,403,3,2025-01-01
404,404,1,2025-01-01
405,405,2,2025-01-01
406,406,2,2025-01-01
407,407,1,2025-01-01
408,408,1,2025-01-01
409,409,1,2025-01-01
410,410,2,2025-01-01
411,411,2,2025-01-01
412,412,1,2025-01-01
413,413,1,2025-01-01
414,414,2,2025-01-01
415,415,2,2025-01-01
416,416,2,2025-01-01
417,417,1,2025-01-01
418,418,1,2025-01-01
419,419,3,2025-01-01
420,420,1,2025-01-01
421,421,2,2025-01-01
422,422,1,2025-01-01
423,423,1,2025-01-01
424,424,2,2025-01-01
425,425,2,2025-01-01
426,426,2,2025-01-01
427,427,1,2025-01-01
428,428,2,2025-01-01
429,429,2,2025-01-01
430,430,1,2025-01-01
431,431,1,2025-01-01
432,432,1,2025-01-01
433,433,2,2025-01-01
434,434,2,2025-01-01
435,435,3,2025-01-01
436,436,3,2025-01-01
437,437,3,2025-01-01
438,438,2,2025-01-01
439,439,1,2025-01-01
440,440,2,2025-01-01
441,441,2,2025-01-01
442,442,2,2025-01-01
443,443,2,2025-01-01
444,444,1,2025-01-01
445,445,1,2025-01-01
446,446,2,2025-01-01
447,447,2,2025-01-01
448,448,1,2025-01-01
449,449,2,2025-01-01
450,450,1,2025-01-01
451,451,2,2025-01-01
452,452,2,2025-01-01
453,453,1,2025-01-01
454,454,1,2025-01-01
455,455,2,2025-01-01
456,456,2,2025-01-01
457,457,2,2025-01-01
458,458,1,2025-01-01
459,459,1,2025-01-01
460,460,1,2025-01-01
461,461,2,2025-01-01
462,462,1,2025-01-01
463,463,1,2025-01-01
464,464,1,2025-01-01
465,465,2,2025-01-01
466,466,2,2025-01-01
467,467,1,2025-01-01
468,468,1,2025-01-01
469,469,1,2025-01-01
470,470,1,2025-01-01
471,471,1,2025-01-01
472,472,2,2025-01-01
473,473,1,2025-01-01
474,474,1,2025-01-01
475,475,2,2025-01-01
476,476,1,2025-01-01
477,477,1,2025-01-01
478,478,2,2025-01-01
