attribute_id,content_id,attribute_name,string_value,decimal_value,date_value,created_at
4,2,Duración,,10,,2025-01-02 00:00:00
5,3,Categoría,Ciencia,,,2025-01-02 00:00:00
6,3,Duración,,11,,2025-01-02 00:00:00
9,5,Categoría,Arte,,,2025-01-02 00:00:00
12,6,Duración,,104,,2025-01-02 00:00:00
14,7,Duración,,82,,2025-01-02 00:00:00
19,10,Categoría,Filosofía,,,2025-01-02 00:00:00
20,10,Duración,,12,,2025-01-02 00:00:00
22,11,Duración,,89,,2025-01-02 00:00:00
23,12,Categoría,Filosofía,,,2025-01-02 00:00:00
24,12,Duración,,147,,2025-01-02 00:00:00
29,15,Categoría,Filosofía,,,2025-01-02 00:00:00
33,17,Categoría,Matemáticas,,,2025-01-02 00:00:00
35,18,Categoría,Tecnología,,,2025-01-02 00:00:00
39,20,Categoría,Matemáticas,,,2025-01-02 00:00:00
43,22,Categoría,Matemáticas,,,2025-01-02 00:00:00
44,22,Duración,,31,,2025-01-02 00:00:00
46,23,Duración,,25,,2025-01-02 00:00:00
47,24,Categoría,Matemáticas,,,2025-01-02 00:00:00
49,25,Categoría,Ciencia,,,2025-01-02 00:00:00
52,26,Duración,,42,,2025-01-02 00:00:00
53,27,Categoría,Historia,,,2025-01-02 00:00:00
56,28,Duración,,20,,2025-01-02 00:00:00
57,29,Categoría,Matemáticas,,,2025-01-02 00:00:00
61,31,Categoría,Historia,,,2025-01-02 00:00:00
63,32,Categoría,Historia,,,2025-01-02 00:00:00
64,32,Duración,,44,,2025-01-02 00:00:00
66,33,Duración,,55,,2025-01-02 00:00:00
71,36,Categoría,Economía,,,2025-01-02 00:00:00
73,37,Categoría,Matemáticas,,,2025-01-02 00:00:00
77,39,Categoría,Historia,,,2025-01-02 00:00:00
80,40,Duración,,49,,2025-01-02 00:00:00
84,42,Duración,,26,,2025-01-02 00:00:00
87,44,Categoría,Ciencia,,,2025-01-02 00:00:00
88,44,Duración,,92,,2025-01-02 00:00:00
95,48,Categoría,Ciencia,,,2025-01-02 00:00:00
96,48,Duración,,21,,2025-01-02 00:00:00
98,49,Duración,,11,,2025-01-02 00:00:00
101,51,Categoría,Historia,,,2025-01-02 00:00:00
103,52,Categoría,Ciencia,,,2025-01-02 00:00:00
107,54,Categoría,Matemáticas,,,2025-01-02 00:00:00
108,54,Duración,,42,,2025-01-02 00:00:00
109,55,Categoría,Ciencia,,,2025-01-02 00:00:00
115,58,Categoría,Tecnología,,,2025-01-02 00:00:00
116,58,Duración,,68,,2025-01-02 00:00:00
118,59,Duración,,37,,2025-01-02 00:00:00
119,60,Categoría,Filosofía,,,2025-01-02 00:00:00
122,61,Duración,,96,,2025-01-02 00:00:00
